"","model_coefficient","standard_error","p"
"intercept",-40.0151370091346,3.23254889875881,3.40314552083822e-35
"maximum temperature",0.921609559788003,0.0941135120825343,1.21221802708011e-22
"location:tip",3.97045452484248,0.423875447738095,7.46013680882773e-21
