,image name,point type,point #,x,y
293,PreMap/xeno photos/IMG_2427.JPG,fin,2,371,244
294,PreMap/xeno photos/IMG_2427.JPG,fin,3,310,275
298,PreMap/xeno photos/IMG_2430.JPG,fin,1,398,179
299,PreMap/xeno photos/IMG_2430.JPG,fin,2,396,266
300,PreMap/xeno photos/IMG_2430.JPG,fin,3,307,269
191,PreMap/xeno photos/IMG_2466.JPG,fin,1,481,166
192,PreMap/xeno photos/IMG_2466.JPG,fin,2,502,266
193,PreMap/xeno photos/IMG_2466.JPG,fin,3,404,275
185,PreMap/xeno photos/IMG_2513.JPG,fin,1,583,177
186,PreMap/xeno photos/IMG_2513.JPG,fin,2,570,320
187,PreMap/xeno photos/IMG_2513.JPG,fin,3,394,344
235,PreMap/xeno photos/IMG_2519.JPG,fin,1,666,237
236,PreMap/xeno photos/IMG_2519.JPG,fin,2,651,291
237,PreMap/xeno photos/IMG_2519.JPG,fin,3,574,278
220,PreMap/xeno photos/IMG_2521.JPG,fin,1,763,261
221,PreMap/xeno photos/IMG_2521.JPG,fin,2,749,303
222,PreMap/xeno photos/IMG_2521.JPG,fin,3,687,302
295,PreMap/xeno photos/IMG_2545.JPG,fin,1,546,180
296,PreMap/xeno photos/IMG_2545.JPG,fin,2,535,277
297,PreMap/xeno photos/IMG_2545.JPG,fin,3,460,293
117,PreMap/xeno photos/IMG_2561.JPG,fin,1,660,259
118,PreMap/xeno photos/IMG_2561.JPG,fin,2,652,319
119,PreMap/xeno photos/IMG_2561.JPG,fin,3,579,323
188,PreMap/xeno photos/IMG_2566 copy.JPG,fin,1,526,160
189,PreMap/xeno photos/IMG_2566 copy.JPG,fin,2,506,246
190,PreMap/xeno photos/IMG_2566 copy.JPG,fin,3,390,254
147,PreMap/xeno photos/IMG_2571.JPG,fin,1,527,240
148,PreMap/xeno photos/IMG_2571.JPG,fin,2,522,282
149,PreMap/xeno photos/IMG_2571.JPG,fin,3,485,293
277,PreMap/xeno photos/IMG_2635 (1).JPG,fin,1,734,239
278,PreMap/xeno photos/IMG_2635 (1).JPG,fin,2,715,293
279,PreMap/xeno photos/IMG_2635 (1).JPG,fin,3,644,286
